J02883_at,CLPS
M20471_at,CLTA
X81636_at,CLTA
X81637_at,CLTB
D21260_at,CLTC
U41763_at,CLTCL1
M63379_at,CLU
D63813_at,CLUL1
M64269_s_at,CMA1
U79526_at,CMKLR1
U13666_at,CMKLR2
D43949_at,CMTR1
U19765_at,CNBP
S42457_at,CNGA1
S76067_at,CNGA2
L15296_s_at,CNGB1
U58837_s_at,CNGB1
D17408_s_at,CNN1
D83735_at,CNN2
S80562_at,CNN3
D87957_at,CNOT9
D13146_cds1_at,CNP
M19650_s_at,CNP
S50017_s_at,CNP
U73304_rna1_at,CNR1
X74328_rna1_at,CNR2
L38025_at,CNTFR
Z21488_at,CNTN1
X67734_at,CNTN2
U87223_at,CNTNAP1
U18919_at,COASY
Z34975_at,COG2
U06632_at,COIL
X60382_rna1_at,COL10A1
J04177_at,COL11A1
U12139_at,COL11A1
U41068_cds2_s_at,COL11A2
M33653_at,COL13A1
M64108_at,COL14A1
Y11709_at,COL14A1
Y11710_rna1_at,COL14A1
L25286_s_at,COL15A1
S57132_s_at,COL16A1
M92642_at,COL16A1
